configurations,cpa,abstraction_block,cex,refiner,recursion,bdd_value,abstract_computation,k,invariant_generation
predicateconfig1,predicate,sbe,no,notset,notApply,notApply,formula,notApply,notApply
predicateconfig2,predicate,sbe,no,notset,notApply,notApply,bdd,notApply,notApply
predicateconfig3,predicate,sbe,no,predicateRefiner,notApply,notApply,formula,notApply,notApply
predicateconfig4,predicate,sbe,no,predicateRefiner,notApply,notApply,bdd,notApply,notApply
predicateconfig5,predicate,sbe,no,sliceRefiner,notApply,notApply,formula,notApply,notApply
predicateconfig6,predicate,sbe,no,sliceRefiner,notApply,notApply,bdd,notApply,notApply
predicateconfig7,predicate,sbe,yes,notset,notApply,notApply,formula,notApply,notApply
predicateconfig8,predicate,sbe,yes,notset,notApply,notApply,bdd,notApply,notApply
predicateconfig9,predicate,sbe,yes,predicateRefiner,notApply,notApply,formula,notApply,notApply
predicateconfig10,predicate,sbe,yes,predicateRefiner,notApply,notApply,bdd,notApply,notApply
predicateconfig11,predicate,sbe,yes,sliceRefiner,notApply,notApply,formula,notApply,notApply
predicateconfig12,predicate,sbe,yes,sliceRefiner,notApply,notApply,bdd,notApply,notApply
predicateconfig13,predicate,lbe,no,notset,notApply,notApply,formula,notApply,notApply
predicateconfig14,predicate,lbe,no,notset,notApply,notApply,bdd,notApply,notApply
predicateconfig15,predicate,lbe,no,predicateRefiner,notApply,notApply,formula,notApply,notApply
predicateconfig16,predicate,lbe,no,predicateRefiner,notApply,notApply,bdd,notApply,notApply
predicateconfig17,predicate,lbe,no,sliceRefiner,notApply,notApply,formula,notApply,notApply
predicateconfig18,predicate,lbe,no,sliceRefiner,notApply,notApply,bdd,notApply,notApply
predicateconfig19,predicate,lbe,yes,notset,notApply,notApply,formula,notApply,notApply
predicateconfig20,predicate,lbe,yes,notset,notApply,notApply,bdd,notApply,notApply
predicateconfig21,predicate,lbe,yes,predicateRefiner,notApply,notApply,formula,notApply,notApply
predicateconfig22,predicate,lbe,yes,predicateRefiner,notApply,notApply,bdd,notApply,notApply
predicateconfig23,predicate,lbe,yes,sliceRefiner,notApply,notApply,formula,notApply,notApply
predicateconfig24,predicate,lbe,yes,sliceRefiner,notApply,notApply,bdd,notApply,notApply
predicateconfig25,predicate,sbe,no,BamRefiner,notset,notApply,formula,notApply,notApply
predicateconfig26,predicate,sbe,no,BamRefiner,notset,notApply,bdd,notApply,notApply
predicateconfig27,predicate,sbe,yes,BamRefiner,notset,notApply,formula,notApply,notApply
predicateconfig28,predicate,sbe,yes,BamRefiner,notset,notApply,bdd,notApply,notApply
predicateconfig29,predicate,lbe,no,BamRefiner,notset,notApply,formula,notApply,notApply
predicateconfig30,predicate,lbe,no,BamRefiner,notset,notApply,bdd,notApply,notApply
predicateconfig31,predicate,lbe,yes,BamRefiner,notset,notApply,formula,notApply,notApply
predicateconfig32,predicate,lbe,yes,BamRefiner,notset,notApply,bdd,notApply,notApply
predicateconfig33,predicate,sbe,no,BamRefiner,yes,notApply,formula,notApply,notApply
predicateconfig34,predicate,sbe,no,BamRefiner,yes,notApply,bdd,notApply,notApply
predicateconfig35,predicate,sbe,yes,BamRefiner,yes,notApply,formula,notApply,notApply
predicateconfig36,predicate,sbe,yes,BamRefiner,yes,notApply,bdd,notApply,notApply
predicateconfig37,predicate,lbe,no,BamRefiner,yes,notApply,formula,notApply,notApply
predicateconfig38,predicate,lbe,no,BamRefiner,yes,notApply,bdd,notApply,notApply
predicateconfig39,predicate,lbe,yes,BamRefiner,yes,notApply,formula,notApply,notApply
predicateconfig40,predicate,lbe,yes,BamRefiner,yes,notApply,bdd,notApply,notApply
